"start","end","survey_type","survey_id","survey_version","country","community","sex","boat_status","boat_power","boat_length","choice","package_nopackage","fishing_organization","punishment_severity","mpa","age","years_fishing","education","digits","gear_handline","gear_spear","gear_traps","gear_gillnet","gear_mobilenet","gear_statline","gear_buceo","gear_other","other_gear","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_gps","fishtech_vesseltrack","fishtech_other","fishtech_none","other_fishtech","enforcement_community_members","enforcement_village_leader","enforcement_village_gov","enforcement_provincial_gov","enforcement_national_gov","enforcement_none","enforcement_other","restriction_gear","restriction_size","restriction_season","restriction_spacial","restriction_quota","restriction_other","restriction_none","rank_one","rank_two","rank_three","rank_four","income_usd"
"2019-07-03 02:19:51","2019-07-03 03:32:18","data",3019,12,"IND","MAK","M","share_employee","no",7,1,"package_chosen","no","none","no",39,25,"some_hs",0,0,0,1,0,0,0,0,0,"Bubu",0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",178
"2019-07-03 02:36:32","2019-07-03 03:33:53","data",3020,15,"IND","MAK","M","share_employee","yes",6,1,"package_chosen","yes","none","no",28,17,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,0,1,0,"Kompas",0,0,0,0,0,1,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",142
"2019-07-03 02:55:19","2019-07-03 03:35:18","data",3021,13,"IND","MAK","M","share_employee","yes",6,2,"no_package","no","none","no",23,10,"some_hs",0,0,0,1,0,0,0,0,0,"0",0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",106
"2019-07-03 03:07:41","2019-07-03 03:30:37","data",3022,1,"IND","MAK","M","share_employee","yes",100,2,"package_chosen","no","moderate","no",59,10,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"weather","iuu","trash_pollutin","corruption",178
"2019-07-03 03:36:12","2019-07-03 03:52:06","data",3023,16,"IND","MAK","M","share_employee","yes",20,2,"package_chosen","no","strong","no",40,5,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine",0,0,0,0,0,0,0,1,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,1,"weather","iuu","trash_pollutin","corruption",142
"2019-07-03 03:56:28","2019-07-03 04:18:32","data",3024,12,"IND","MAK","M","share_employee","yes",15,1,"no_package","no","strong","no",40,25,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine",0,0,0,0,0,0,0,1,NA,1,0,1,1,1,0,0,1,0,0,1,0,0,0,"weather","trash_pollutin","iuu","corruption",213
"2019-07-03 04:19:49","2019-07-03 04:32:20","data",3025,15,"IND","MAK","M","share_employee","yes",15,1,"no_package","no","strong","no",48,1,"no_formal",0,0,0,0,0,1,0,0,0,"Purse seine",0,0,0,0,0,0,0,1,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,1,"weather","iuu","trash_pollutin","corruption",178
"2019-07-03 04:35:52","2019-07-03 04:54:29","data",3026,15,"IND","MAK","M","share_employee","yes",7,1,"package_chosen","no","moderate","no",35,20,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine (jaring lingkar)",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,0,0,0,0,0,"weather","trash_pollutin","iuu","corruption",142
"2019-07-03 04:55:42","2019-07-03 05:07:53","data",3027,12,"IND","MAK","M","share_employee","yes",7,1,"package_chosen","yes","strong","no",40,25,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine",1,1,0,0,0,1,0,0,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"weather","trash_pollutin","iuu","corruption",213
"2019-07-03 06:37:21","2019-07-03 06:48:43","data",3028,12,"IND","MAK","M","share_employee","yes",13,1,"no_package","no","strong","no",54,20,"some_hs",0,0,0,0,0,1,0,0,0,"Purse seine",0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"weather","trash_pollutin","iuu","corruption",178
