survey_id,wtp,start,end,survey_type,survey_version,country,community,sex,boat_status,boat_power,boat_length,choice,package_nopackage,fishing_organization,punishment_severity,mpa,age,years_fishing,education,digits,gear_handline,gear_spear,gear_traps,gear_gillnet,gear_mobilenet,gear_statline,gear_buceo,gear_other,other_gear,fishtech_vhf,fishtech_fishfinder,fishtech_survcam,fishtech_catchapp,fishtech_gps,fishtech_vesseltrack,fishtech_other,fishtech_none,other_fishtech,enforcement_community_members,enforcement_village_leader,enforcement_village_gov,enforcement_provincial_gov,enforcement_national_gov,enforcement_none,enforcement_other,restriction_gear,restriction_size,restriction_season,restriction_spacial,restriction_quota,restriction_other,restriction_none,rank_one,rank_two,rank_three,rank_four,income_usd,opinion_a,opinion_b,opinion_c,opinion_d,opinion_e,opinion_f,opinion_g,opinion_h,opinion_i,trust_a,trust_b,trust_c,trust_d,trust_e,trust_f,trust_g,trust_h,trust_i,trust_j,trust_k,trust_l,satisfaction_a,satisfaction_b,satisfaction_c
2003,-5,2019-07-02 2:43,2019-07-02 3:00,data,8,IND,MNC,M,own,no,10,2,no_package,yes,severe,no,36,9,secondary,0,0,0,0,0,0,0,0,1,Traditional net,0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,trash_pollutin,iuu,weather,corruption,710,neutral,strongly_disag,agree,disagree,agree,agree,agree,agree,agree,trust_entirely,trust_entirely,neutral,trust_entirely,somewhat_trust,neutral,neutral,neutral,neutral,trust_entirely,NA,distrust_entir,neutral,n_a,satisfied
2004,-5,2019-07-02 3:00,2019-07-02 3:22,data,9,IND,MNC,M,own,no,10,1,no_package,yes,severe,no,40,30,secondary,0,0,0,0,0,0,0,0,1,Traditional net,0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,trash_pollutin,weather,iuu,corruption,710,neutral,strongly_disag,agree,disagree,agree,agree,agree,agree,disagree,trust_entirely,trust_entirely,somewhat_distr,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral,neutral,NA,neutral,neutral,extremely_unsa,satisfied
3001,2,2019-07-01 7:53,2019-07-02 2:43,data,4,IND,MAK,M,own,yes,28,2,package_chosen,yes,weak,yes,40,20,secondary,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,1,0,0,0,1,0,0,1,0,0,0,trash_pollutin,weather,iuu,corruption,106,neutral,disagree,disagree,strongly_agree,agree,disagree,agree,neutral,strongly_disag,trust_entirely,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,somewhat_distr,somewhat_distr,somewhat_distr,neutral,satisfied,satisfied
3002,0,2019-07-02 2:44,2019-07-02 2:53,data,5,IND,MAK,M,own,yes,8,1,no_package,yes,weak,yes,50,30,secondary,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,1,0,0,1,0,0,0,trash_pollutin,weather,corruption,iuu,142,neutral,agree,strongly_disag,agree,disagree,strongly_disag,strongly_disag,agree,strongly_disag,trust_entirely,neutral,neutral,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral,somewhat_trust,somewhat_trust,neutral,neutral,satisfied,satisfied
3003,-5,2019-07-02 2:44,2019-07-02 3:52,data,10,IND,MAK,M,share_employee,yes,8,1,no_package,no,none,no,39,31,secondary,0,0,0,0,0,1,0,0,0,Payang,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,weather,trash_pollutin,iuu,corruption,213,neutral,disagree,agree,disagree,disagree,disagree,agree,agree,neutral,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral,trust_entirely,neutral,somewhat_trust,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral
3004,0,2019-07-02 3:01,2019-07-02 3:10,data,7,IND,MAK,M,share_employee,no,7,2,no_package,yes,weak,no,37,8,secondary,0,0,0,0,1,0,0,0,1,jaring untuk ikan teri,0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,weather,corruption,iuu,trash_pollutin,71,neutral,agree,neutral,neutral,disagree,disagree,agree,agree,disagree,trust_entirely,trust_entirely,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral,NA,somewhat_trust,neutral,neutral,neutral,neutral,satisfied
3005,1,2019-07-02 3:13,2019-07-02 3:27,data,7,IND,MAK,M,share_collective,yes,3,1,package_chosen,no,weak,yes,30,15,secondary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,weather,iuu,corruption,trash_pollutin,178,neutral,agree,neutral,strongly_agree,neutral,strongly_disag,agree,neutral,strongly_disag,trust_entirely,somewhat_trust,neutral,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral,somewhat_trust,somewhat_trust,neutral,neutral,unsatisfied,satisfied
3006,-5,2019-07-02 3:27,2019-07-02 3:51,data,11,IND,MAK,M,share_employee,yes,7,2,no_package,no,none,no,41,30,secondary,0,0,0,0,0,1,0,0,0,Payang (jaring tarik),0,0,0,0,0,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,weather,trash_pollutin,iuu,corruption,178,neutral,disagree,agree,disagree,disagree,disagree,agree,neutral,neutral,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral,trust_entirely,somewhat_trust,somewhat_trust,neutral,neutral,neutral,satisfied,neutral,neutral
3007,2,2019-07-02 3:51,2019-07-02 3:59,data,8,IND,MAK,M,share_collective,no,3,2,package_chosen,yes,weak,no,35,20,secondary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,1,0,0,0,0,weather,iuu,corruption,trash_pollutin,71,agree,disagree,disagree,agree,disagree,disagree,agree,agree,disagree,somewhat_trust,neutral,neutral,neutral,somewhat_trust,neutral,neutral,neutral,neutral,somewhat_trust,somewhat_trust,somewhat_trust,neutral,neutral,satisfied
3008,0,2019-07-02 4:02,2019-07-02 4:16,data,9,IND,MAK,M,rent,yes,3,1,package_chosen,yes,weak,no,45,30,no_formal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,trash_pollutin,iuu,weather,corruption,178,neutral,strongly_disag,disagree,strongly_agree,disagree,strongly_disag,agree,agree,strongly_disag,trust_entirely,trust_entirely,trust_entirely,neutral,distrust_entir,neutral,somewhat_distr,neutral,neutral,somewhat_trust,trust_entirely,neutral,unsatisfied,satisfied,satisfied
3009,0,2019-07-02 4:06,2019-07-02 4:51,data,13,IND,MAK,M,share_employee,yes,15,2,package_chosen,no,none,no,75,13,no_formal,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Solar panel,0,0,0,0,0,0,1,0,0,0,1,0,0,0,corruption,weather,iuu,trash_pollutin,178,strongly_agree,agree,strongly_agree,disagree,disagree,disagree,agree,agree,neutral,somewhat_distr,somewhat_distr,neutral,somewhat_trust,somewhat_distr,neutral,trust_entirely,somewhat_trust,trust_entirely,somewhat_trust,somewhat_trust,somewhat_trust,satisfied,satisfied,satisfied
3010,1,2019-07-02 4:21,2019-07-02 4:32,data,10,IND,MAK,M,share_employee,yes,7,2,package_chosen,yes,weak,yes,19,4,secondary,0,0,0,0,0,1,0,0,1,payang,0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,1,0,0,1,0,0,0,weather,corruption,trash_pollutin,iuu,71,neutral,agree,disagree,agree,neutral,strongly_disag,agree,agree,strongly_disag,trust_entirely,somewhat_trust,neutral,somewhat_trust,neutral,neutral,neutral,neutral,somewhat_trust,somewhat_trust,somewhat_trust,neutral,neutral,neutral,satisfied
3011,2,2019-07-02 4:49,2019-07-02 5:04,data,10,IND,MAK,M,share_collective,yes,3,2,package_chosen,no,weak,yes,46,20,secondary,0,0,0,1,0,0,0,0,0,jading ditebar,0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,weather,trash_pollutin,iuu,corruption,142,neutral,agree,agree,strongly_agree,neutral,strongly_disag,agree,agree,disagree,neutral,neutral,neutral,somewhat_trust,somewhat_trust,neutral,neutral,neutral,somewhat_distr,NA,somewhat_trust,neutral,neutral,neutral,neutral
3012,0,2019-07-02 5:19,2019-07-02 5:28,data,11,IND,MAK,M,share_employee,yes,3,1,package_chosen,yes,weak,no,32,9,secondary,0,0,0,1,0,0,0,0,1,jaring rajungan,0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,weather,trash_pollutin,iuu,corruption,142,neutral,strongly_disag,disagree,neutral,neutral,strongly_disag,neutral,agree,strongly_disag,somewhat_trust,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral,neutral,neutral,somewhat_distr,somewhat_distr,somewhat_distr,neutral,neutral,satisfied
3013,1,2019-07-02 5:29,2019-07-02 5:49,data,11,IND,MAK,M,own,yes,8,1,package_chosen,yes,weak,no,39,29,secondary,0,0,0,1,0,0,0,0,1,jaring rajungan,0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,iuu,weather,corruption,trash_pollutin,142,neutral,disagree,agree,agree,agree,strongly_disag,agree,strongly_agree,neutral,somewhat_trust,somewhat_trust,somewhat_trust,neutral,neutral,neutral,neutral,neutral,neutral,somewhat_trust,somewhat_trust,somewhat_trust,neutral,neutral,satisfied
3014,-2,2019-07-02 5:53,2019-07-02 6:24,data,14,IND,MAK,M,own,yes,16,2,no_package,yes,moderate,no,60,50,secondary,0,0,0,0,0,1,0,0,0,Purseine,0,0,0,0,0,0,0,1,Hanya handphone yang dibawa nelayan,0,0,0,0,1,0,0,0,0,0,0,0,0,1,weather,iuu,corruption,trash_pollutin,1420,neutral,disagree,agree,disagree,disagree,NA,agree,agree,neutral,somewhat_trust,neutral,somewhat_trust,somewhat_trust,somewhat_trust,neutral,trust_entirely,somewhat_trust,somewhat_trust,somewhat_trust,somewhat_trust,neutral,neutral,neutral,satisfied
